Distance_deg,Density_Type,Predictor,Beta,SE,P_value,CI_Lower_95,CI_Upper_95,R2,Adj_R2,F_pvalue,N
4.5,Angular,Spherical equivalent refraction (D),-12.421117083386392,29.190080782600454,0.6718813200894961,-70.73500707471632,45.89277290794353,0.4182048842534605,0.3636615921522224,3.168967204480393e-06,71
4.5,Angular,Gender,300.8189505272338,151.8154281507741,0.05183684416996648,-2.4672322725045888,604.1051333269722,0.4182048842534605,0.3636615921522224,3.168967204480393e-06,71
4.5,Angular,Corneal curvature (mm),-544.9098817409633,205.3511391854214,0.010034760827046954,-955.1459420395996,-134.67382144232704,0.4182048842534605,0.3636615921522224,3.168967204480393e-06,71
4.5,Angular,Anterior chamber depth (mm),340.2037630157096,136.6662633443799,0.015409527623418292,67.18151598785084,613.2260100435684,0.4182048842534605,0.3636615921522224,3.168967204480393e-06,71
4.5,Angular,Intercept,224.03023487640715,2655.269546921688,0.9330240869690423,-5080.480479215753,5528.540948968567,0.4182048842534605,0.3636615921522224,3.168967204480393e-06,71
5.0,Linear,Axial length (mm),-236.7201663175181,639.3780412411251,0.7124298266707777,-1514.0246396244743,1040.5843069894381,0.2369109152023935,0.1653713135026179,0.006678116305702806,71
5.0,Linear,Age,-74.52481340682365,125.9038189008883,0.5559904045617362,-326.0466060169726,176.99697920332528,0.2369109152023935,0.1653713135026179,0.006678116305702806,71
5.0,Linear,Spherical equivalent refraction (D),-401.6504677500355,302.6805333395773,0.18923085957340116,-1006.3243449872041,203.02340948713316,0.2369109152023935,0.1653713135026179,0.006678116305702806,71
5.0,Linear,Gender,1548.7512872169962,1574.2188281042118,0.328907722338184,-1596.1123480720337,4693.614922506026,0.2369109152023935,0.1653713135026179,0.006678116305702806,71
5.0,Linear,Corneal curvature (mm),-3727.3420358005196,2129.346362329452,0.08483072747178168,-7981.200408139572,526.5163365385324,0.2369109152023935,0.1653713135026179,0.006678116305702806,71
5.0,Linear,Anterior chamber depth (mm),4448.420242285093,1417.1326823891995,0.0025639927479045315,1617.372258573413,7279.468225996773,0.2369109152023935,0.1653713135026179,0.006678116305702806,71
5.0,Linear,Intercept,46342.570784700336,27533.27092885817,0.09721896327627073,-8661.461030242863,101346.60259964353,0.2369109152023935,0.1653713135026179,0.006678116305702806,71
5.0,Angular,Axial length (mm),218.58022221850422,60.00892904257546,0.0005421917089344684,98.698605146305,338.46183929070344,0.4840676213894254,0.43569896089468396,8.90746138000084e-08,71
5.0,Angular,Age,-8.776177554282445,11.816723201733117,0.46038598598220803,-32.3827959112486,14.830440802683711,0.4840676213894254,0.43569896089468396,8.90746138000084e-08,71
5.0,Angular,Spherical equivalent refraction (D),-45.333877472208414,28.408130208046476,0.1154586223565649,-102.08564161254111,11.417886668124275,0.4840676213894254,0.43569896089468396,8.90746138000084e-08,71
